id,percent,name
1001,7.5,"Autauga County, Alabama"
1003,9.1,"Baldwin County, Alabama"
1005,19.9,"Barbour County, Alabama"
1007,9.4,"Bibb County, Alabama"
1009,10,"Blount County, Alabama"
1011,22.6,"Bullock County, Alabama"
1013,19.7,"Butler County, Alabama"
1015,15.2,"Calhoun County, Alabama"
1017,16.4,"Chambers County, Alabama"
1019,13.7,"Cherokee County, Alabama"
1021,14.4,"Chilton County, Alabama"
1023,14.2,"Choctaw County, Alabama"
1025,21.1,"Clarke County, Alabama"
1027,18.5,"Clay County, Alabama"
1029,11.6,"Cleburne County, Alabama"
1031,14.1,"Coffee County, Alabama"
1033,12.2,"Colbert County, Alabama"
1035,22.7,"Conecuh County, Alabama"
1037,11.4,"Coosa County, Alabama"
1039,15.7,"Covington County, Alabama"
1041,13.7,"Crenshaw County, Alabama"
1043,12.8,"Cullman County, Alabama"
1045,11.4,"Dale County, Alabama"
1047,27.3,"Dallas County, Alabama"
1049,16,"DeKalb County, Alabama"
1051,9.1,"Elmore County, Alabama"
1053,20.5,"Escambia County, Alabama"
1055,13.1,"Etowah County, Alabama"
1057,13.9,"Fayette County, Alabama"
1059,14.9,"Franklin County, Alabama"
1061,13.6,"Geneva County, Alabama"
1063,24.9,"Greene County, Alabama"
1065,21.6,"Hale County, Alabama"
1067,15,"Henry County, Alabama"
1069,12.7,"Houston County, Alabama"
1071,14.1,"Jackson County, Alabama"
1073,11.4,"Jefferson County, Alabama"
1075,13.2,"Lamar County, Alabama"
1077,13.1,"Lauderdale County, Alabama"
1079,10.3,"Lawrence County, Alabama"
1081,11,"Lee County, Alabama"
1083,10.3,"Limestone County, Alabama"
1085,24.4,"Lowndes County, Alabama"
1087,20.7,"Macon County, Alabama"
1089,8.6,"Madison County, Alabama"
1091,17.3,"Marengo County, Alabama"
1093,13.3,"Marion County, Alabama"
1095,15.3,"Marshall County, Alabama"
1097,15.7,"Mobile County, Alabama"
1099,21.4,"Monroe County, Alabama"
1101,15.6,"Montgomery County, Alabama"
1103,10.9,"Morgan County, Alabama"
1105,23.9,"Perry County, Alabama"
1107,21,"Pickens County, Alabama"
1109,20.5,"Pike County, Alabama"
1111,14.7,"Randolph County, Alabama"
1113,19.3,"Russell County, Alabama"
1115,8.3,"St. Clair County, Alabama"
1117,5.4,"Shelby County, Alabama"
1119,32.8,"Sumter County, Alabama"
1121,15.3,"Talladega County, Alabama"
1123,13.4,"Tallapoosa County, Alabama"
1125,11.3,"Tuscaloosa County, Alabama"
1127,14.7,"Walker County, Alabama"
1129,16.8,"Washington County, Alabama"
1131,32.7,"Wilcox County, Alabama"
1133,15.4,"Winston County, Alabama"
2013,7.3,"Aleutians East Borough, Alaska"
2016,2,"Aleutians West Census Area, Alaska"
2020,5.8,"Anchorage Municipality, Alaska"
2050,16.1,"Bethel Census Area, Alaska"
2060,2.8,"Bristol Bay Borough, Alaska"
2068,1.8,"Denali Borough, Alaska"
2070,10.6,"Dillingham Census Area, Alaska"
2090,5.4,"Fairbanks North Star Borough, Alaska"
2100,3.5,"Haines Borough, Alaska"
2105,16.2,"Hoonah-Angoon Census Area, Alaska"
2110,4.6,"Juneau City and Borough, Alaska"
2122,5.6,"Kenai Peninsula Borough, Alaska"
2130,4.8,"Ketchikan Gateway Borough, Alaska"
2150,7.7,"Kodiak Island Borough, Alaska"
2164,15.3,"Lake and Peninsula Borough, Alaska"
2170,6.4,"Matanuska-Susitna Borough, Alaska"
2180,19.7,"Nome Census Area, Alaska"
2185,8.1,"North Slope Borough, Alaska"
2188,16.9,"Northwest Arctic Borough, Alaska"
2195,7.9,"Petersburg Census Area, Alaska"
2198,12.3,"Prince of Wales-Hyder Census Area, Alaska"
2220,4.3,"Sitka City and Borough, Alaska"
2230,0,"Skagway Municipality, Alaska"
2240,7.1,"Southeast Fairbanks Census Area, Alaska"
2261,6.1,"Valdez-Cordova Census Area, Alaska"
2270,28.4,"Wade Hampton Census Area, Alaska"
2275,6.1,"Wrangell City and Borough, Alaska"
2282,1.2,"Yakutat City and Borough, Alaska"
2290,18.7,"Yukon-Koyukuk Census Area, Alaska"
4001,26.9,"Apache County, Arizona"
4003,11.8,"Cochise County, Arizona"
4005,11.6,"Coconino County, Arizona"
4007,11.6,"Gila County, Arizona"
4009,15.9,"Graham County, Arizona"
4011,9.4,"Greenlee County, Arizona"
4012,14.3,"La Paz County, Arizona"
4013,10,"Maricopa County, Arizona"
4015,11.6,"Mohave County, Arizona"
4017,19.1,"Navajo County, Arizona"
4019,11.2,"Pima County, Arizona"
4021,10.1,"Pinal County, Arizona"
4023,20.6,"Santa Cruz County, Arizona"
4025,8.8,"Yavapai County, Arizona"
4027,17.6,"Yuma County, Arizona"
5001,13.1,"Arkansas County, Arkansas"
5003,14.3,"Ashley County, Arkansas"
5005,10.6,"Baxter County, Arkansas"
5007,8.8,"Benton County, Arkansas"
5009,10.4,"Boone County, Arkansas"
5011,23.4,"Bradley County, Arkansas"
5013,9.1,"Calhoun County, Arkansas"
5015,13.4,"Carroll County, Arkansas"
5017,27.5,"Chicot County, Arkansas"
5019,14.1,"Clark County, Arkansas"
5021,13.2,"Clay County, Arkansas"
5023,12.5,"Cleburne County, Arkansas"
5025,11.9,"Cleveland County, Arkansas"
5027,17.3,"Columbia County, Arkansas"
5029,10.2,"Conway County, Arkansas"
5031,15.4,"Craighead County, Arkansas"
5033,14.1,"Crawford County, Arkansas"
5035,23.1,"Crittenden County, Arkansas"
5037,11.9,"Cross County, Arkansas"
5039,15.1,"Dallas County, Arkansas"
5041,23.7,"Desha County, Arkansas"
5043,17.5,"Drew County, Arkansas"
5045,10.1,"Faulkner County, Arkansas"
5047,13.6,"Franklin County, Arkansas"
5049,12.9,"Fulton County, Arkansas"
5051,13.3,"Garland County, Arkansas"
5053,6.4,"Grant County, Arkansas"
5055,12.3,"Greene County, Arkansas"
